       state	          pH	     pct_err	  si_calcite	
       react	         7.1	     9.92062	     -0.0447	
       react	     7.07058	     1.41373	     -0.2278	
       react	     7.08434	    0.996393	     -0.2295	
       react	     7.11785	    0.848063	     -0.1936	
       react	     7.17057	      0.7721	     -0.1346	
       react	     7.24724	    0.725965	     -0.0516	
       react	     7.35776	    0.694994	      0.0638	
       react	     7.51787	    0.672787	      0.2257	
       react	      7.7361	    0.656106	      0.4398	
       react	     7.97406	    0.643134	      0.6650	
       react	        8.18	    0.632761	      0.8498	
